Month-Year,Registrations
Jan-22,1626277
Feb-22,1547038
Mar-22,1804442
Apr-22,1807075
May-22,1842211
Jun-22,1710335
Jul-22,1617034
Aug-22,1680877
Sep-22,1571421
Oct-22,2302495
Nov-22,2418328
Dec-22,1652082
Jan-23,1856861
Feb-23,1802213
Mar-23,2069966
Apr-23,1747489
May-23,2043048
Jun-23,1888744
Jul-23,1793049
Aug-23,1845207
Sep-23,1905266
Oct-23,2151251
Nov-23,2891836
Dec-23,2014722
Jan-24,2156512
Feb-24,2053974
Mar-24,2148656
Apr-24,2228588
May-24,2109958
Jun-24,1915854
Jul-24,2057147
Aug-24,1914760
Sep-24,1741130
Oct-24,2870197
Nov-24,3237938
Dec-24,1775842
Jan-25,2321729
Feb-25,1923244
Mar-25,2155466
Apr-25,2317676
May-25,2236258
Jun-25,2025268
Jul-25,1983236
Aug-25,1987186
Sep-25,1854283
Oct-25,4066397
Nov-25,3331072
Dec-25,2052248
Jan-26,2743419
